26301,"Clarksburg, WV 26301, USA",48125,"Dearborn Heights, MI 48125, USA",616487,39.2785386,-80.4326088,42.2773037,-83.2640917,16
48125,"Dearborn Heights, MI 48125, USA",84714,"Beryl, UT 84714, USA",3015210,42.2773037,-83.2640917,37.7947566,-113.7156812,18
84714,"Beryl, UT 84714, USA",77069,"Houston, TX 77069, USA",2287561,37.7947566,-113.7156812,29.9913489,-95.5249385,53
77069,"Houston, TX 77069, USA",66012,"Bonner Springs, KS 66012, USA",1235617,29.9913489,-95.5249385,39.0725413,-94.9140851,24
66012,"Bonner Springs, KS 66012, USA",62378,"Versailles, IL 62378, USA",460076,39.0725413,-94.9140851,39.8870981,-90.66874380000002,23
62378,"Versailles, IL 62378, USA",04450,"Kenduskeag, ME 04450, USA",2331101,39.8870981,-90.66874380000002,44.9137825,-68.94074189999999,34
04450,"Kenduskeag, ME 04450, USA",45015,"Hamilton, OH 45015, USA",1745675,44.9137825,-68.94074189999999,39.3713944,-84.53682169999999,37
08533,"New Egypt, NJ 08533, USA",72732,"Garfield, AR 72732, USA",1968967,40.0444,-74.4785934,36.4329004,-93.9672339,41
72732,"Garfield, AR 72732, USA",52206,"Atkins, IA 52206, USA",834646,36.4329004,-93.9672339,42.0032236,-91.8929675,26
52206,"Atkins, IA 52206, USA",36442,"Florala, AL 36442, USA",1599936,42.0032236,-91.8929675,31.074079,-86.3801009,32
36442,"Florala, AL 36442, USA",24301,"Pulaski, VA 24301, USA",1053627,31.074079,-86.3801009,37.0581009,-80.799678,28
24301,"Pulaski, VA 24301, USA",95337,"Manteca, CA 95337, USA",4224227,37.0581009,-80.799678,37.7622429,-121.2397532,23
95337,"Manteca, CA 95337, USA",47396,"Yorktown, IN 47396, USA",3655835,37.7622429,-121.2397532,40.1927067,-85.5303198,41
47396,"Yorktown, IN 47396, USA",02859,"Pascoag, RI 02859, USA",1429251,40.1927067,-85.5303198,41.96734350000001,-71.7544993,35
02859,"Pascoag, RI 02859, USA",51056,"Smithland, IA 51056, USA",2290585,41.96734350000001,-71.7544993,42.2295474,-95.9516165,37
51056,"Smithland, IA 51056, USA",55310,"Bird Island, MN 55310, USA",342106,42.2295474,-95.9516165,44.76557010000001,-94.87279629999999,24
33316,"Fort Lauderdale, FL 33316, USA",50703,"Waterloo, IA 50703, USA",2477210,26.0967912,-80.12608159999999,42.5479972,-92.2779726,36
50703,"Waterloo, IA 50703, USA",33852,"Lake Placid, FL 33852, USA",2283794,42.5479972,-92.2779726,27.2347446,-81.4513068,33
33852,"Lake Placid, FL 33852, USA",50022,"Atlantic, IA 50022, USA",2431104,27.2347446,-81.4513068,41.4519822,-95.022791,35
50022,"Atlantic, IA 50022, USA",61036,"Galena, IL 61036, USA",479401,41.4519822,-95.022791,42.40925499999999,-90.3982071,15
61036,"Galena, IL 61036, USA",40977,"Pineville, KY 40977, USA",1044179,42.40925499999999,-90.3982071,36.7625867,-83.6968399,18
40977,"Pineville, KY 40977, USA",11550,"Hempstead, NY 11550, USA",1189612,36.7625867,-83.6968399,40.6987842,-73.6242585,37
11550,"Hempstead, NY 11550, USA",45680,"South Point, OH 45680, USA",1001997,40.6987842,-73.6242585,38.4673325,-82.5501589,39
